,0
0,7.2
1,6.9
2,6.3
3,7.6
4,6.1
5,5.9
6,7.4
7,7.3
8,7.4
9,5.7
10,5.4
11,6.1
12,7.0
13,5.9
14,6.5
15,6.3
16,7.4
17,6.4
18,6.2
19,7.1
20,6.5
21,6.2
22,7.6
23,5.8
24,6.6
25,7.5
26,7.1
27,5.5
28,6.5
29,6.9
30,6.7
31,6.8
32,6.4
33,6.3
34,7.0
35,6.0
36,5.8
37,5.7
38,6.5
39,6.3
40,5.8
41,5.1
42,7.6
43,5.9
44,7.3
45,6.7
46,7.5
47,7.4
48,5.5
49,7.3
50,6.2
51,6.7
52,6.1
53,5.7
54,6.6
55,6.7
56,6.6
57,7.8
58,6.1
59,5.6
60,6.6
61,5.2
62,5.5
63,6.7
64,6.4
65,8.2
66,7.7
67,6.0
68,7.4
69,7.0
70,5.1
71,5.2
72,5.9
73,5.3
74,7.6
75,5.9
76,5.6
77,8.0
78,6.7
79,6.6
80,5.8
81,7.0
82,7.3
83,5.9
84,7.6
85,6.0
86,6.2
87,7.8
88,7.1
89,6.4
90,4.9
91,7.5
92,5.9
93,7.9
94,8.1
95,8.1
96,6.5
97,7.0
98,6.6
99,7.3
100,7.1
101,6.6
102,5.8
103,5.5
104,6.5
105,6.0
106,6.3
107,5.8
108,6.2
109,6.6
110,6.6
111,5.6
112,7.4
113,7.5
114,6.2
115,6.9
116,6.7
117,7.5
118,7.5
119,6.2
120,5.9
121,6.2
122,6.4
123,7.3
124,6.7
125,6.8
126,7.2
127,6.5
128,6.6
129,6.3
130,5.1
131,5.5
132,5.7
133,7.1
134,5.7
135,6.7
136,4.7
137,6.5
138,6.4
139,5.5
140,6.0
141,5.9
142,6.7
143,6.9
144,6.4
145,5.8
146,5.3
147,6.4
148,6.0
149,5.5
150,6.7
151,6.8
152,7.1
153,5.9
154,7.3
155,5.6
156,7.4
157,6.8
158,7.6
159,5.3
160,4.9
161,7.0
162,6.3
163,5.3
164,5.4
165,5.7
166,5.9
167,6.6
168,6.0
169,6.9
170,6.1
171,5.8
172,6.1
173,6.0
174,7.3
175,6.1
176,6.6
177,6.5
178,7.3
179,6.9
180,7.0
181,7.4
182,6.8
183,6.2
184,6.3
185,6.4
186,6.2
187,5.6
188,6.7
189,7.7
190,6.3
191,5.0
192,6.2
193,6.1
194,6.7
195,7.5
196,5.4
197,7.5
198,6.6
199,6.5
200,6.3
201,6.8
202,7.1
203,7.0
204,5.6
205,7.1
206,6.4
207,6.0
208,4.2
209,6.2
210,6.2
211,5.9
212,6.2
213,5.4
214,7.2
215,5.2
216,5.9
217,5.2
218,6.3
219,5.4
220,6.4
221,6.3
222,5.7
223,5.7
224,4.9
225,5.9
226,6.4
227,7.1
228,6.4
229,7.5
230,6.3
231,6.3
232,6.8
233,5.0
234,5.8
235,6.0
236,5.8
237,7.3
238,5.7
239,5.8
240,4.4
241,6.3
242,6.0
243,6.0
244,6.8
245,6.4
246,6.5
247,6.2
248,7.0
249,4.9
250,5.5
251,6.1
252,5.5
253,5.7
254,5.9
255,6.6
256,5.5
257,4.1
258,6.6
259,6.4
260,8.0
261,5.7
262,6.7
263,6.7
264,6.6
265,5.8
266,6.7
267,7.6
268,6.5
269,3.7
270,6.1
271,7.9
272,7.1
273,7.4
274,7.3
275,5.6
276,7.7
277,6.5
278,7.4
279,6.8
280,6.2
281,5.4
282,6.1
283,5.6
284,7.8
285,6.8
286,7.2
287,6.1
288,6.4
289,4.9
290,6.4
291,6.4
292,6.0
293,5.5
294,7.3
295,7.9
296,5.2
297,6.7
298,6.6
299,6.5
300,4.2
301,5.6
302,7.2
303,5.3
304,6.1
305,5.5
306,6.5
307,4.4
308,6.4
309,6.5
310,7.1
311,6.0
312,7.1
313,7.1
314,5.9
315,5.4
316,7.2
317,5.6
318,7.3
319,5.4
320,7.0
321,6.2
322,6.7
323,6.6
324,7.6
325,8.1
326,8.0
327,5.2
328,5.7
329,5.9
330,5.7
331,7.0
332,6.3
333,5.2
334,5.8
335,7.4
336,5.7
337,6.0
338,6.9
339,7.3
340,6.3
341,6.4
342,6.3
343,6.5
344,6.5
345,7.0
346,5.6
347,7.9
348,7.6
349,6.5
350,7.2
351,6.9
352,7.0
353,5.3
354,6.7
355,5.8
356,6.7
357,5.5
358,5.6
359,6.8
360,5.2
361,7.2
362,5.6
363,6.2
364,5.9
365,5.5
366,6.7
367,5.9
368,6.8
369,5.7
370,6.5
371,6.9
372,5.9
373,6.1
374,6.6
375,7.3
376,5.4
377,6.7
378,6.1
379,7.5
380,5.9
381,7.2
382,6.2
383,7.2
384,5.6
385,6.8
386,6.6
387,6.3
388,5.1
389,5.8
390,6.7
391,6.7
392,6.2
393,6.5
394,6.1
395,6.9
396,7.2
397,6.4
398,6.1
399,7.3
400,6.1
401,6.9
402,5.5
403,7.3
404,5.5
405,7.2
406,5.4
407,4.7
408,5.4
409,6.6
410,6.0
411,6.7
412,4.9
413,5.9
414,6.5
415,7.3
416,5.7
417,6.4
418,6.0
419,6.7
420,6.9
421,6.2
422,6.6
423,6.3
424,7.1
425,5.8
426,5.9
427,6.2
428,5.4
429,5.8
430,6.0
431,6.3
432,7.8
433,5.3
434,6.0
435,6.8
436,5.9
437,7.3
438,6.3
439,6.5
440,6.3
441,6.7
442,6.6
443,5.3
444,5.2
445,6.5
446,5.2
447,6.5
448,7.4
449,5.6
450,5.2
451,7.4
452,5.3
453,5.0
454,6.2
455,6.7
456,7.0
457,5.8
458,6.1
459,5.9
460,6.8
461,5.6
462,6.1
463,6.7
464,5.9
465,6.9
466,5.8
467,5.2
468,3.0
469,5.6
470,5.1
471,5.4
472,6.1
473,5.2
474,5.7
475,5.4
476,6.0
477,7.3
478,4.8
479,5.2
480,7.7
481,8.0
482,5.8
483,6.4
484,6.7
485,6.5
486,4.1
487,6.2
488,7.6
489,5.7
490,3.9
491,5.9
492,5.7
493,7.0
494,6.7
495,6.2
496,6.6
497,7.4
498,6.8
499,6.4
500,6.9
501,6.5
502,6.6
503,6.5
504,4.7
505,7.3
506,6.0
507,7.0
508,5.7
509,5.9
510,6.5
511,5.8
512,6.6
513,5.4
514,6.9
515,6.4
516,5.7
517,7.1
518,5.8
519,6.3
520,6.2
521,5.9
522,5.7
523,6.2
524,6.3
525,5.0
526,6.1
527,5.8
528,4.3
529,5.7
530,6.9
531,6.4
532,5.9
533,5.8
534,5.8
535,5.9
536,5.4
537,5.7
538,6.5
539,6.2
540,4.9
541,7.7
542,6.6
543,6.9
544,6.6
545,4.5
546,6.9
547,6.2
548,5.4
549,6.4
550,6.7
551,6.6
552,5.7
553,5.8
554,5.8
555,6.4
556,7.9
557,6.6
558,6.6
559,5.8
560,6.5
561,5.3
562,5.5
563,5.4
564,6.7
565,6.2
566,6.3
567,5.5
568,7.6
569,7.0
570,5.8
571,7.1
572,5.8
573,6.2
574,6.0
575,7.1
576,7.0
577,5.2
578,5.4
579,5.0
580,5.2
581,6.1
582,6.0
583,5.9
584,6.1
585,4.3
586,5.5
587,5.9
588,5.9
589,5.1
590,5.7
591,4.6
592,6.7
593,4.4
594,5.9
595,5.8
596,6.7
597,7.1
598,5.4
599,6.2
600,6.9
601,5.7
602,5.4
603,7.3
604,6.3
605,6.5
606,5.5
607,5.5
608,6.0
609,6.6
610,5.0
611,7.9
612,6.1
613,6.1
614,7.1
615,5.3
616,6.7
617,7.9
618,7.3
619,5.5
620,7.1
621,6.3
622,6.5
623,6.3
624,6.2
625,7.3
626,6.3
627,6.1
628,5.7
629,6.0
630,5.9
631,5.9
632,7.1
633,6.0
634,6.7
635,5.9
636,5.7
637,6.4
638,5.6
639,6.0
640,6.5
641,6.1
642,8.3
643,6.7
644,5.4
645,5.0
646,6.7
647,4.8
648,6.3
649,5.3
650,6.7
651,7.1
652,5.9
653,6.1
654,7.6
655,6.5
656,6.4
657,5.9
658,5.3
659,6.1
660,6.5
661,4.3
662,5.8
663,7.6
664,5.5
665,7.0
666,6.1
667,6.9
668,8.2
669,5.6
670,5.6
671,7.9
672,7.3
673,6.6
674,6.1
675,7.8
676,6.8
677,5.6
678,6.6
679,5.0
680,6.6
681,5.9
682,6.0
683,5.3
684,5.9
685,5.7
686,6.4
687,5.8
688,6.6
689,6.8
690,6.7
691,7.0
692,5.3
693,6.2
694,6.3
695,5.6
696,6.2
697,7.3
698,4.9
699,7.3
700,4.5
701,5.6
702,5.5
703,6.5
704,6.1
705,6.7
706,6.1
707,5.9
708,5.8
709,5.6
710,5.9
711,6.4
712,5.8
713,5.9
714,6.9
715,6.6
716,6.3
717,7.5
718,6.0
719,6.2
720,4.6
721,7.0
722,6.7
723,5.7
724,5.1
725,5.8
726,5.6
727,6.1
728,5.8
729,6.2
730,5.8
731,5.7
732,5.9
733,6.6
734,6.3
735,7.4
736,5.1
737,4.7
738,5.4
739,6.6
740,6.5
741,6.1
742,5.7
743,6.3
744,7.0
745,4.9
746,6.0
747,6.2
748,5.0
749,5.3
750,6.0
751,4.7
752,5.4
753,6.0
754,6.8
755,7.4
756,7.4
757,6.2
758,6.5
759,4.4
760,5.7
761,5.7
762,5.1
763,6.1
764,5.8
765,5.9
766,7.2
767,5.5
768,6.4
769,6.0
770,4.7
771,5.5
772,5.8
773,6.0
774,8.2
775,5.5
776,6.6
777,6.7
778,6.9
779,5.4
780,6.4
781,6.0
782,7.6
783,5.9
784,6.0
785,7.1
786,5.6
787,7.0
788,7.7
789,6.1
790,5.9
791,6.4
792,7.7
793,7.6
794,6.1
795,6.3
796,6.2
797,5.8
798,5.7
799,6.3
800,5.7
801,6.2
802,5.9
803,6.7
804,6.4
805,7.0
806,5.3
807,6.0
808,5.1
809,5.4
810,6.4
811,7.3
812,5.3
813,5.7
814,7.0
815,6.6
816,5.4
817,6.1
818,5.2
819,6.2
820,4.2
821,6.9
822,7.3
823,5.3
824,6.2
825,7.5
826,5.2
827,7.1
828,6.1
829,5.4
830,6.5
831,3.5
832,5.7
833,5.5
834,7.4
835,7.4
836,5.4
837,6.3
838,6.7
839,7.2
840,6.8
841,5.4
842,7.7
843,6.7
844,5.6
845,6.4
846,5.7
847,5.1
848,7.2
849,5.9
850,6.9
851,7.8
852,6.1
853,6.1
854,5.3
855,5.1
856,5.6
857,7.3
858,6.5
859,6.6
860,6.7
861,6.3
862,7.2
863,7.0
864,6.0
865,5.6
866,6.6
867,7.1
868,6.3
869,7.0
870,7.2
871,6.4
872,6.2
873,5.8
874,5.6
875,7.3
876,6.7
877,5.0
878,6.5
879,5.9
880,5.5
881,5.4
882,7.0
883,5.2
884,7.0
885,6.3
886,6.8
887,5.5
888,7.7
889,6.0
890,6.2
891,5.1
892,6.0
893,5.7
894,6.3
895,5.9
896,6.3
897,7.0
898,7.3
899,5.6
900,6.4
901,6.0
902,7.5
903,6.3
904,6.1
905,6.8
906,5.8
907,5.5
908,6.2
909,7.2
910,6.1
911,6.1
912,6.1
913,4.5
914,4.4
915,6.3
916,5.9
917,6.2
918,4.4
919,5.0
920,5.8
921,6.0
922,6.0
923,6.0
924,5.9
925,6.0
926,6.2
927,6.1
928,6.0
929,5.6
930,7.6
931,7.1
932,6.6
933,7.3
934,6.3
935,7.2
936,5.8
937,6.2
938,5.2
939,5.8
940,5.9
941,5.8
942,5.5
943,6.5
944,6.0
945,5.2
946,5.6
947,5.6
948,4.7
949,5.0
950,5.3
951,3.9
952,5.7
953,6.2
954,7.2
955,6.9
956,7.6
957,6.5
958,6.6
959,6.5
960,6.5
961,6.6
962,6.1
963,6.0
964,7.1
965,5.6
966,6.6
967,6.9
968,6.1
969,6.5
970,5.7
971,6.6
972,5.9
973,6.6
974,6.5
975,7.2
976,4.6
977,5.7
978,6.3
979,6.8
980,7.0
981,4.4
982,6.2
983,6.4
984,6.6
985,6.5
986,5.0
987,6.1
988,5.8
989,6.1
990,5.8
991,6.0
992,6.3
993,6.4
994,7.0
995,6.3
996,5.6
997,7.9
998,7.3
999,6.9
1000,5.4
1001,6.5
1002,6.5
1003,7.3
1004,5.9
1005,4.7
1006,5.8
1007,7.0
1008,6.8
1009,6.6
1010,5.5
1011,5.9
1012,5.6
1013,6.6
1014,6.1
1015,6.6
1016,6.4
1017,6.2
1018,6.1
1019,6.0
1020,5.5
1021,6.5
1022,6.7
1023,6.2
1024,5.4
1025,5.3
1026,6.5
1027,6.1
1028,4.7
1029,7.1
1030,6.7
1031,6.0
1032,6.3
1033,5.0
1034,6.3
1035,6.4
1036,4.0
1037,6.0
1038,2.3
1039,7.1
1040,7.2
1041,5.5
1042,7.3
1043,6.3
1044,6.9
1045,6.4
1046,6.4
1047,5.6
1048,7.0
1049,6.6
1050,5.3
1051,6.6
1052,6.8
1053,6.3
1054,6.7
1055,7.0
1056,6.5
1057,5.8
1058,5.4
1059,6.5
1060,6.7
1061,6.0
1062,6.1
1063,6.1
1064,5.9
1065,5.6
1066,5.7
1067,4.0
1068,7.0
1069,7.2
1070,5.3
1071,6.1
1072,6.3
1073,6.8
1074,6.8
1075,6.6
1076,7.7
1077,6.2
1078,5.6
1079,6.9
1080,6.8
1081,6.7
1082,6.2
1083,7.4
1084,6.3
1085,5.2
1086,4.7
1087,7.0
1088,6.0
1089,7.4
1090,6.7
1091,7.0
1092,7.1
1093,6.2
1094,5.3
1095,5.7
1096,7.1
1097,5.9
1098,7.1
1099,6.6
1100,6.8
1101,7.0
1102,5.4
1103,6.7
1104,7.1
1105,6.1
1106,7.1
1107,7.2
1108,7.2
1109,6.2
1110,6.5
1111,5.7
1112,7.5
1113,5.4
1114,5.8
1115,6.1
1116,6.2
1117,5.4
1118,7.2
1119,6.0
1120,5.9
1121,5.9
1122,6.2
1123,5.0
1124,7.3
1125,7.0
1126,6.5
1127,8.0
1128,6.1
1129,5.7
1130,7.3
1131,6.2
1132,6.0
1133,6.4
1134,6.5
1135,6.4
1136,6.5
1137,6.0
1138,6.8
1139,6.7
1140,5.8
1141,6.8
1142,4.9
1143,6.2
1144,6.5
1145,5.4
1146,6.1
1147,6.1
1148,6.7
1149,5.3
1150,5.0
1151,5.9
1152,7.0
1153,5.9
1154,5.4
1155,6.9
1156,6.1
1157,6.3
1158,5.6
1159,6.7
1160,5.0
1161,4.6
1162,5.2
1163,6.4
1164,5.4
1165,7.2
1166,5.9
1167,6.5
1168,6.9
1169,5.7
1170,4.7
1171,4.9
1172,6.5
1173,4.8
1174,7.0
1175,4.2
1176,7.5
1177,5.7
1178,5.7
1179,7.8
1180,5.6
1181,6.6
1182,5.9
1183,3.2
1184,5.5
1185,5.9
1186,4.2
1187,6.5
1188,5.0
1189,7.0
1190,6.0
1191,5.5
