,0
0,2787965087
1,961000000
2,880674609
3,1084939099
4,284139100
5,890871626
6,591794936
7,1405403694
8,933959197
9,873260194
10,391081192
11,586090727
12,1065659812
13,89289910
14,662845518
15,419651413
16,1519557910
17,1045713802
18,624026776
19,956019788
20,752215857
21,310669540
22,958400000
23,372234864
24,550000000
25,1845034188
26,1153304495
27,303025485
28,1513528810
29,1108561013
30,783766341
31,1215439994
32,1025491110
33,459359555
34,743559607
35,836297228
36,1091405097
37,491868548
38,705717432
39,400062763
40,559852396
41,219851172
42,1066969703
43,371353001
44,1506249360
45,531865000
46,747862775
47,467365246
48,197687603
49,351040419
50,335154643
51,407602906
52,1123746996
53,786636033
54,331926147
55,538983207
56,343471816
57,521311860
58,258022233
59,769653595
60,325233863
61,183987723
62,356743061
63,748806957
64,543934787
65,1004558444
66,735099082
67,381509870
68,585174222
69,185770160
70,222104681
71,401128639
72,745000000
73,173000000
74,370541256
75,264218220
76,302469017
77,857611174
78,966550600
79,623933331
80,396600000
81,758539785
82,710644566
83,150962475
84,714766572
85,752600867
86,209154322
87,652105443
88,471222889
89,305875730
90,389681935
91,494878759
92,435000000
93,773328629
94,675120017
95,825532764
96,77000000
97,1021103568
98,207283925
99,333932083
100,353624124
101,653428261
102,215283742
103,181674817
104,299370084
105,798958165
106,433677183
107,440603537
108,415686217
109,449220945
110,709709780
111,167298192
112,938212738
113,895921036
114,624029371
115,585349010
116,474968763
117,623722818
118,374218673
119,603900354
120,413106170
121,373062864
122,424988211
123,1274219009
124,738599701
125,644571402
126,378858340
127,356613439
128,449326618
129,309979994
130,292817841
131,301000000
132,245527149
133,682330139
134,287594577
135,665692281
136,318502923
137,397850012
138,205366737
139,38992758
140,64459316
141,128388320
142,272912430
143,497409852
144,746921274
145,431971116
146,229147509
147,553799566
148,441818803
149,195735876
150,521170825
151,694713380
152,306941670
153,202026112
154,456758981
155,268031828
156,385680446
157,821708551
158,609123048
159,150680864
160,76932943
161,185258983
162,285444603
163,245360480
164,371876278
165,119269486
166,85131830
167,370569774
168,361832400
169,212011111
170,829000000
171,150406466
172,163712074
173,183345589
174,532950503
175,282570682
176,245724603
177,373552094
178,442824138
179,631744560
180,519311965
181,847423452
182,368871007
183,591739379
184,273339556
185,554987477
186,293329073
187,362637473
188,371940071
189,789804554
190,49554002
191,243843127
192,354248063
193,349424282
194,321887208
195,976475550
196,61648500
197,655011224
198,752100229
199,767820459
200,500188435
201,407711549
202,626137675
203,334615000
204,232713139
205,261317921
206,61698899
207,276572938
208,238207122
209,345141403
210,544272402
211,546388105
212,325756637
213,289047763
214,609016565
215,228738393
216,415484914
217,259175788
218,403170142
219,169956806
220,286140700
221,115772733
222,242688965
223,93945766
224,48668907
225,261930431
226,286168572
227,850000000
228,649398328
229,562816256
230,415440673
231,924317558
232,585178928
233,132900000
234,77628265
235,164602163
236,477200000
237,716392705
238,178127760
239,245623848
240,167977596
241,574480841
242,470490832
243,333011068
244,215294342
245,362744280
246,478207520
247,295238201
248,102000000
249,237382724
250,227817248
251,337580051
252,563749323
253,103951461
254,179246868
255,299268508
256,347434178
257,164508066
258,125537191
259,383531464
260,871368364
261,72178895
262,87713825
263,347234916
264,211643158
265,300135367
266,267045765
267,630161890
268,162949164
269,10372291
270,237202299
271,457640427
272,358372926
273,876688482
274,599045960
275,362211740
276,520000000
277,214104620
278,266465037
279,378882411
280,150166126
281,310650585
282,170432927
283,242295562
284,425368238
285,100138851
286,169327687
287,312573423
288,347451894
289,249288105
290,100086793
291,268426634
292,278731369
293,211989043
294,170877916
295,392000694
296,336529144
297,121214377
298,130482868
299,140073390
300,82102379
301,243400000
302,109578115
303,68688831
304,206172544
