,0
0,2908988822
1,773831678
2,669961551
3,915337120
4,26463504
5,740901834
6,373425126
7,1186105586
8,779951740
9,648306911
10,143623493
11,446098396
12,1026824104
13,-179296361
14,473743681
15,224904866
16,1424695043
17,739464945
18,437449893
19,753938015
20,588945488
21,124555207
22,766480437
23,225049058
24,412236718
25,2196127301
26,939605245
27,103079394
28,1437074667
29,996048242
30,710878463
31,1098694086
32,929065181
33,295784092
34,588125078
35,782617909
36,941226890
37,315798323
38,540040950
39,258928654
40,399718665
41,22050385
42,975748078
43,195402111
44,1387245063
45,359074012
46,531653190
47,300105921
48,2907954
49,266212828
50,208385929
51,246263657
52,1031638288
53,695144563
54,165390411
55,388068986
56,164840261
57,394359830
58,138168445
59,649603535
60,142810228
61,8418560
62,183845766
63,683624237
64,380640467
65,946937293
66,638708062
67,235493189
68,514364870
69,17517258
70,67756632
71,295937113
72,592906370
73,-2341396
74,205609212
75,122276681
76,145359082
77,719429775
78,823360339
79,477124093
80,248419785
81,617805824
82,577338621
83,-28456322
84,-26008318
85,581740392
86,661326935
87,20187465
88,520165748
89,335709727
90,171550696
91,233711141
92,371268527
93,289953210
94,644277111
95,544742342
96,749036919
97,64491570
98,845354733
99,214428885
100,212519497
101,215074784
102,520042736
103,73474869
104,25710127
105,134569029
106,748027336
107,284675342
108,301008387
109,293394422
110,391684576
111,655251374
112,14976060
113,922759434
114,896489913
115,547704794
116,509662413
117,390565762
118,554586571
119,269478629
120,524447250
121,300032686
122,254369368
123,339292403
124,1216391696
125,726239886
126,513480654
127,241202474
128,235611293
129,332487535
130,184844685
131,162862089
132,165540103
133,104725656
134,561042899
135,-168820445
136,161081758
137,572823281
138,189644923
139,293993509
140,59906155
141,-123305186
142,-100280053
143,-22777368
144,136593967
145,392612941
146,659881525
147,365009110
148,88569299
149,545216335
150,377320243
151,147198795
152,391287857
153,610613410
154,177535370
155,122620727
156,390830994
157,136721468
158,268757807
159,853491413
160,495623516
161,11110091
162,-69788259
163,63014489
